,sentence,label,split
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",positive,0
1,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,very_positive,0
2,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",positive,0
3,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,neutral,0
4,Yet the act is still charming here .,positive,0
5,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",very_positive,0
6,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,very_positive,0
7,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,positive,0
8,a screenplay more ingeniously constructed than `` Memento '',very_positive,0
9,`` Extreme Ops '' exceeds expectations .,positive,0
10754,It 's a lovely film with lovely performances by Buy and Accorsi .,positive,1
10755,"No one goes unindicted here , which is probably for the best .",neutral,1
10756,"And if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins .",positive,1
10757,"A warm , funny , engaging film .",very_positive,1
10758,"Uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .",very_positive,1
10759,"Half Submarine flick , Half Ghost Story , All in one criminally neglected film",neutral,1
10760,"Entertains by providing good , lively company .",positive,1
10761,"Dazzles with its fully-written characters , its determined stylishness -LRB- which always relates to characters and story -RRB- and Johnny Dankworth 's best soundtrack in years .",very_positive,1
10762,"Visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .",very_positive,1
10763,"Nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative Nine Queens is lots of fun .",positive,1
8544,Effective but too-tepid biopic,neutral,2
8545,"If you sometimes like to go to the movies to have fun , Wasabi is a good place to start .",positive,2
8546,"Emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",very_positive,2
8547,The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,neutral,2
8548,Offers that rare combination of entertainment and education .,very_positive,2
8549,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,positive,2
8550,Steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it .,positive,2
8551,But he somehow pulls it off .,positive,2
8552,Take Care of My Cat offers a refreshingly different slice of Asian cinema .,positive,2
8553,"This is a film well worth seeing , talking and singing heads and all .",very_positive,2
